kamu/grow.js:   10:40:59.056 | Batch: 103 - 1   |    G    | +60.69ms
kamu/weaken.js:   10:40:59.058 | Batch: 103 - 1 |       W | +42.69ms
kamu/hack.js: 10:40:59.076 | Batch: 103 - 2     | H       | +19.69ms
kamu/grow.js:   10:40:59.081 | Batch: 103 - 2   |    G    | +4.69ms
kamu/weaken.js:   10:40:59.136 | Batch: 103 - 2 |       W | +39.69ms
kamu/hack.js: 10:40:59.154 | Batch: 103 - 3     | H       | +17.69ms
kamu/grow.js:   10:40:59.206 | Batch: 103 - 3   |    G    | +49.69ms
kamu/weaken.js:   10:40:59.210 | Batch: 103 - 3 |       W | +33.69ms
kamu/hack.js: 10:40:59.253 | Batch: 103 - 4     | H       | +36.69ms
kamu/grow.js:   10:40:59.282 | Batch: 103 - 4   |    G    | +45.69ms
kamu/weaken.js:   10:40:59.336 | Batch: 103 - 4 |       W | +79.69ms
kamu/hack.js: 10:40:59.363 | Batch: 103 - 5     | H       | +66.69ms
kamu/grow.js:   10:40:59.387 | Batch: 103 - 5   |    G    | +70.69ms
kamu/weaken.js:   10:40:59.387 | Batch: 103 - 5 |       W | +50.69ms
kamu/hack.js: 10:40:59.418 | Batch: 103 - 6     | H       | +41.69ms
kamu/grow.js:   10:40:59.465 | Batch: 103 - 6   |    G    | +68.69ms
kamu/weaken.js:   10:40:59.490 | Batch: 103 - 6 |       W | +73.69ms
kamu/hack.js: 10:40:59.533 | Batch: 103 - 7     | H       | +76.69ms
kamu/grow.js:   10:40:59.561 | Batch: 103 - 7   |    G    | +84.69ms
kamu/weaken.js:   10:40:59.596 | Batch: 103 - 7 |       W | +99.69ms
kamu/hack.js: 10:40:59.623 | Batch: 103 - 8     | H       | +86.69ms
kamu/grow.js:   10:40:59.665 | Batch: 103 - 8   |    G    | +108.69ms
kamu/weaken.js:   10:40:59.691 | Batch: 103 - 8 |       W | +114.69ms
kamu/hack.js: 10:40:59.726 | Batch: 103 - 9     | H       | +109.69ms
kamu/grow.js:   10:40:59.753 | Batch: 103 - 9   |    G    | +116.69ms
kamu/weaken.js:   10:40:59.776 | Batch: 103 - 9 |       W | +119.69ms
kamu/hack.js: 10:41:00.329 | Batch: 104 - 0     | H       | +0.69ms
kamu/grow.js:   10:41:00.375 | Batch: 104 - 0   |    G    | +26.69ms
kamu/weaken.js:   10:41:00.391 | Batch: 104 - 0 |       W | +22.69ms
kamu/hack.js: 10:41:00.445 | Batch: 104 - 1     | H       | +35.69ms
kamu/grow.js:   10:41:00.454 | Batch: 104 - 1   |    G    | +24.69ms
kamu/weaken.js:   10:41:00.467 | Batch: 104 - 1 |       W | +17.69ms
kamu/hack.js: 10:41:00.504 | Batch: 104 - 2     | H       | +14.69ms
kamu/grow.js:   10:41:00.529 | Batch: 104 - 2   |    G    | +19.69ms
kamu/weaken.js:   10:41:00.544 | Batch: 104 - 2 |       W | +14.69ms
kamu/hack.js: 10:41:00.612 | Batch: 104 - 3     | H       | +42.69ms
kamu/grow.js:   10:41:00.613 | Batch: 104 - 3   |    G    | +23.69ms
kamu/weaken.js:   10:41:00.656 | Batch: 104 - 3 |       W | +46.69ms
kamu/hack.js: 10:41:00.694 | Batch: 104 - 4     | H       | +44.69ms
kamu/grow.js:   10:41:00.741 | Batch: 104 - 4   |    G    | +71.69ms
kamu/weaken.js:   10:41:00.769 | Batch: 104 - 4 |       W | +79.69ms
kamu/hack.js: 10:41:00.807 | Batch: 104 - 5     | H       | +77.69ms
kamu/grow.js:   10:41:00.828 | Batch: 104 - 5   |    G    | +78.69ms
kamu/weaken.js:   10:41:00.844 | Batch: 104 - 5 |       W | +74.69ms
kamu/hack.js: 10:41:00.845 | Batch: 104 - 6     | H       | +35.69ms
kamu/grow.js:   10:41:00.846 | Batch: 104 - 6   |    G    | +16.69ms
kamu/weaken.js:   10:41:00.870 | Batch: 104 - 6 |       W | +20.69ms
kamu/hack.js: 10:41:00.912 | Batch: 104 - 7     | H       | +22.69ms
kamu/grow.js:   10:41:00.954 | Batch: 104 - 7   |    G    | +44.69ms
kamu/weaken.js:   10:41:00.981 | Batch: 104 - 7 |       W | +51.69ms
kamu/hack.js: 10:41:01.036 | Batch: 104 - 8     | H       | +66.69ms
kamu/grow.js:   10:41:01.066 | Batch: 104 - 8   |    G    | +76.69ms
kamu/weaken.js:   10:41:01.091 | Batch: 104 - 8 |       W | +81.69ms
kamu/hack.js: 10:41:01.132 | Batch: 104 - 9     | H       | +82.69ms
kamu/grow.js:   10:41:01.173 | Batch: 104 - 9   |    G    | +103.69ms
kamu/weaken.js:   10:41:01.197 | Batch: 104 - 9 |       W | +107.69ms
kamu/hack.js: 10:41:01.260 | Batch: 105 - 0     | H       | +48.69ms
kamu/grow.js:   10:41:01.261 | Batch: 105 - 0   |    G    | +29.69ms
kamu/weaken.js:   10:41:01.277 | Batch: 105 - 0 |       W | +25.69ms
