kamu/weaken.js:   18:29:56.951 | Batch: 4271 - 3 |       W | +17.02ms
kamu/hack.js: 18:29:56.975 | Batch: 4271 - 4     | H       | +1.02ms
kamu/grow.js:   18:29:57.014 | Batch: 4271 - 4   |    G    | +20.02ms
kamu/weaken.js:   18:29:57.017 | Batch: 4271 - 4 |       W | +3.02ms
kamu/hack.js: 18:29:57.071 | Batch: 4271 - 5     | H       | +17.02ms
kamu/grow.js:   18:29:57.074 | Batch: 4271 - 5   |    G    | +0.02ms
kamu/weaken.js:   18:29:57.100 | Batch: 4271 - 5 |       W | +6.02ms
kamu/hack.js: 18:29:57.149 | Batch: 4271 - 6     | H       | +15.02ms
kamu/grow.js:   18:29:57.155 | Batch: 4271 - 6   |    G    | +1.02ms
kamu/weaken.js:   18:29:57.176 | Batch: 4271 - 6 |       W | +2.02ms
kamu/hack.js: 18:29:57.215 | Batch: 4271 - 7     | H       | +1.02ms
kamu/grow.js:   18:29:57.271 | Batch: 4271 - 7   |    G    | +37.02ms
kamu/weaken.js:   18:29:57.273 | Batch: 4271 - 7 |       W | +19.02ms
kamu/hack.js: 18:29:57.470 | Batch: 4272 - 0     | H       | +11.02ms
kamu/grow.js:   18:29:57.478 | Batch: 4272 - 0   |    G    | -0.98ms
kamu/weaken.js:   18:29:57.501 | Batch: 4272 - 0 |       W | +2.02ms
kamu/hack.js: 18:29:57.550 | Batch: 4272 - 1     | H       | +11.02ms
kamu/grow.js:   18:29:57.559 | Batch: 4272 - 1   |    G    | +0.02ms
kamu/grow.js:   18:29:57.559 | Batch: 4272 - 1   |    G    | +0.02ms
kamu/grow.js:   18:29:57.559 | Batch: 4272 - 1   |    G    | +0.02ms
kamu/weaken.js:   18:29:57.579 | Batch: 4272 - 1 |       W | +0.02ms
kamu/hack.js: 18:29:57.632 | Batch: 4272 - 2     | H       | +13.02ms
kamu/grow.js:   18:29:57.671 | Batch: 4272 - 2   |    G    | +32.02ms
kamu/weaken.js:   18:29:57.675 | Batch: 4272 - 2 |       W | +16.02ms
kamu/hack.js: 18:29:57.700 | Batch: 4272 - 3     | H       | +1.02ms
kamu/grow.js:   18:29:57.720 | Batch: 4272 - 3   |    G    | +1.02ms
